window_id,behavior
0,gliding
1,gliding
2,gliding
3,gliding;turning
4,gliding;turning
5,turning;wig_wag
6,turning
7,turning
8,gliding;turning
9,gliding;turning
10,gliding;turning
11,gliding;turning
12,gliding;turning
13,gliding
14,gliding
15,gliding
16,gliding
17,gliding
18,gliding
19,gliding;wig_wag
20,turning
21,turning;wig_wag
22,turning;wig_wag
23,gliding
24,gliding
25,gliding
26,scrunching
27,scrunching
28,scrunching;wig_wag
29,scrunching
30,gliding
31,gliding
32,gliding
33,gliding
34,gliding
35,gliding
36,gliding
37,gliding
38,gliding
39,gliding
40,gliding
41,gliding
42,gliding
43,gliding
44,gliding
45,gliding
46,gliding
47,gliding
48,gliding
49,gliding
50,gliding
51,gliding
52,gliding
53,gliding
54,gliding
55,gliding
56,gliding
57,resting
58,gliding
59,resting
60,resting
61,resting
62,gliding
63,gliding
64,gliding
65,resting
66,resting
67,resting
68,resting
69,turning
70,resting
71,resting
72,gliding;turning
73,gliding;turning
74,gliding;turning
75,resting
76,resting
77,resting
78,turning
79,turning
