window_id,behavior
0,gliding
1,gliding
2,gliding
3,gliding
4,gliding
5,gliding
6,gliding;wig_wag
7,gliding
8,gliding
9,no_worm
10,gliding
11,gliding
12,gliding;turning
13,turning;wig_wag
14,gliding;turning
15,resting
16,scrunching;wig_wag
17,turning
18,gliding
19,gliding
20,gliding;turning
21,gliding;turning
22,gliding
23,gliding
24,wig_wag
25,gliding
26,gliding
27,gliding;turning
28,gliding
29,gliding
30,gliding;turning
31,wig_wag
32,scrunching;wig_wag
33,gliding
34,gliding;turning
35,gliding;turning
36,gliding;turning
37,scrunching;turning
38,gliding
39,gliding;turning
40,gliding;turning
41,gliding;turning
42,gliding
43,gliding
44,gliding
45,gliding
46,gliding
47,gliding
48,gliding
49,gliding
50,gliding
51,gliding
52,gliding
53,gliding
54,gliding
55,gliding;turning
56,peristalsis;scrunching
57,gliding;scrunching;turning
58,gliding
59,gliding
60,gliding
61,gliding
62,gliding
63,turning;wig_wag
64,wig_wag
65,wig_wag
66,gliding
67,scrunching;turning
68,scrunching;turning
69,gliding
70,scrunching;turning
71,gliding
72,gliding
73,gliding
74,scrunching;wig_wag
75,gliding;wig_wag
76,resting
77,wig_wag
78,wig_wag
79,wig_wag
80,wig_wag
81,wig_wag
82,wig_wag
83,wig_wag
84,wig_wag
85,gliding;wig_wag
86,gliding
87,scrunching;turning
88,gliding;turning
89,gliding
90,gliding;turning
91,gliding
92,turning
93,gliding;turning
94,gliding
