window_id,behavior
0,gliding
1,gliding;wig_wag
2,gliding;turning
3,gliding;turning
4,gliding
5,gliding
6,gliding
7,gliding
8,gliding;wig_wag
9,turning;wig_wag
10,gliding
11,gliding
12,gliding
13,gliding
14,gliding;turning
15,gliding;turning
16,scrunching
17,gliding
18,gliding
19,gliding
20,gliding;turning
21,gliding
22,gliding
23,gliding
24,gliding
25,gliding
26,gliding
27,gliding
28,gliding
29,gliding
30,gliding
31,gliding
32,gliding
33,gliding
34,resting
35,gliding
36,gliding
37,resting
38,gliding
39,gliding
40,gliding;turning
41,scrunching;turning
42,resting
43,gliding;turning
44,scrunching;turning
45,resting
46,gliding;turning
47,turning
48,gliding
49,turning
