window_id,behavior
0,gliding;turning
1,gliding;turning
2,gliding
3,gliding
4,gliding
5,gliding
6,gliding
7,gliding
8,gliding
9,gliding
10,gliding
11,gliding
12,gliding
13,gliding
14,gliding
15,turning
16,turning
17,wig_wag
18,gliding
19,gliding;turning
20,gliding
21,gliding
22,gliding
23,gliding
24,gliding
25,turning
26,gliding
27,gliding
28,gliding;turning
29,wig_wag
30,scrunching;turning
31,turning
32,scrunching;turning
33,turning
34,turning
35,scrunching
36,gliding
37,gliding
38,gliding
39,wig_wag
40,gliding
41,gliding
42,gliding
43,gliding
44,gliding;turning
45,gliding
46,gliding
47,turning
48,gliding;turning
49,gliding
50,gliding
51,gliding
52,gliding
53,gliding
54,gliding
55,gliding
56,gliding
57,gliding
58,gliding
59,gliding
60,gliding
61,gliding
62,gliding
63,gliding
64,gliding
65,gliding
66,gliding
67,gliding
68,gliding
69,gliding
70,gliding;turning
71,gliding
72,gliding
73,gliding
74,gliding
75,gliding
76,gliding
77,gliding
78,scrunching
79,scrunching
80,gliding
81,gliding;wig_wag
82,gliding
83,gliding
84,gliding
85,gliding
86,turning;wig_wag
87,gliding
88,gliding
89,gliding
90,gliding
91,wig_wag
92,gliding
93,gliding
94,wig_wag
95,wig_wag
96,wig_wag
97,wig_wag
98,wig_wag
99,wig_wag
100,wig_wag
101,wig_wag
102,wig_wag
103,wig_wag
104,wig_wag
105,wig_wag
106,wig_wag
107,wig_wag
108,wig_wag
109,wig_wag
110,wig_wag
111,wig_wag
112,wig_wag
113,wig_wag
114,gliding
115,gliding
116,gliding;turning
117,gliding
118,gliding
119,gliding;turning
120,gliding;turning
121,gliding;turning
122,wig_wag
123,turning
124,gliding;turning
125,gliding
