window_id,behavior
0,turning
1,turning
2,gliding
3,turning
4,wig_wag
5,gliding
6,gliding
7,gliding
8,gliding;turning
9,gliding
10,turning
11,scrunching;turning
12,turning
13,gliding;turning
14,gliding
15,gliding
16,gliding;turning
17,turning
18,gliding
19,gliding
20,turning
21,turning
22,turning
23,reversing
24,gliding
25,turning
26,gliding
27,gliding
28,turning
29,wig_wag
30,gliding
31,gliding;turning
32,gliding
33,scrunching
34,gliding
35,turning
36,scrunching
37,scrunching;wig_wag
38,gliding;scrunching
39,gliding;turning
40,scrunching
41,scrunching
42,gliding
43,wig_wag
44,wig_wag
45,wig_wag
46,wig_wag
47,wig_wag
48,wig_wag
49,wig_wag
50,wig_wag
51,gliding
52,gliding
53,scrunching;turning
54,scrunching;turning;wig_wag
55,gliding;turning
56,gliding;turning
57,turning
58,gliding;turning
59,turning
60,gliding;turning
61,gliding;turning
62,gliding;wig_wag
63,gliding
64,turning
65,gliding
66,gliding
67,frozen
68,frozen
69,frozen
70,frozen
71,frozen
72,turning
73,frozen
74,frozen
75,frozen
76,frozen
77,frozen
78,frozen
79,frozen
80,frozen
81,frozen
82,frozen
83,frozen
84,frozen
85,frozen
86,frozen
87,frozen
88,frozen
89,frozen
90,frozen
91,frozen
92,frozen
93,frozen
94,frozen
95,frozen
96,frozen
97,frozen
98,frozen
99,frozen
